artist,ontour,listeners,playcount
The Strokes,0,5033150,372433108
Creed,1,1974422,39935872
Matt Redman,0,222856,3643282
The EverLove,0,38817,358211
Charlie Brown Jr.,0,627596,55139539
Young the Giant,1,1673990,36413427
No Doubt,0,3062567,65358772
Jimmy Eat World,1,2962755,94479906
Pantera,1,2216811,101654615
Fitz and The Tantrums,0,1590823,22915060
No Doubt,0,3062567,65358772
Soundgarden,0,2830351,81121394
Stone Temple Pilots,1,2153309,54703154
Sam Tinnesz,0,377163,4325055
Poets of the Fall,0,582174,31526927
Welshly Arms,0,240833,2895185
Willyecho,0,39965,363523
grandson,0,689187,19987571
The Afters,1,213253,3021509
Smash Mouth,0,2049636,22373118
Godsmack,1,1837759,48311344
Detonautas Roque Clube,1,236336,5673657
Rob Zombie,1,1960913,53498737
Rob Zombie,1,1960913,53498737
The Verve,0,2839509,47959863
Pixies,1,3824783,183915227
Mazzy Star,0,2171466,78327813
Franz Ferdinand,1,4259347,146162756
Adam Jensen,1,190242,3204806
Bullet For My Valentine,1,2245540,105665229
Royal Blood,0,961905,37775438
Kinky,0,230489,3188731
Chris Tomlin,0,354458,8728166
Chris Tomlin,0,354458,8728166
Chris Tomlin,0,354458,8728166
Los Prisioneros,1,269406,8153929
Aleks Syntek,1,265257,2772017
La Ley,0,206795,3244441
Fito Paez,0,124547,5418189
Molotov,1,405448,10438719
You Me At Six,0,960304,37843952
lovelytheband,1,474602,6989161
Papa Roach,1,3252459,105322236
Porcupine Tree,0,995420,94578770
Layto,0,143798,2457933
Rage Against The Machine,0,3785021,133505953
Foo Fighters,0,5629944,296678527
Lauren Daigle,0,328933,4788598
Bea Miller,0,943076,17785457
The Phantoms,0,67301,605514
Bishop Briggs,0,570511,7736714
Lifehouse,0,1935858,43845119
Staind,1,1890026,39958152
Third Eye Blind,1,1731908,39179982
Los Caligaris,0,64111,1426682
Pato Fu,0,186393,4945178
Bush,1,1567111,28803314
Barns Courtney,0,441745,8297711
Joy Division,0,2991960,153528969
TobyMac,0,337809,6809784
Charly García,0,288411,16122131
TobyMac,0,337809,6809784
